Symbol,Name
RELIANCE.NS,Reliance Industries Limited
HDFCBANK.NS,HDFC Bank Ltd.
TCS.NS,Tata Consultancy Services Ltd.
ICICIBANK.NS,ICICI Bank Ltd.
INFY.NS,Infosys Ltd.
BHARTIARTL.NS,Bharti Airtel Ltd.
ITC.NS,ITC Ltd.
LT.NS,Larsen & Toubro Ltd.
BAJFINANCE.NS,Bajaj Finance Ltd.
WIPRO.NS,Wipro Ltd.
SBIN.NS,State Bank of India
HCLTECH.NS,HCL Technologies Ltd.
MARUTI.NS,Maruti Suzuki India Ltd.
COALINDIA.NS,Coal India Ltd.
SUNPHARMA.NS,Sun Pharmaceutical Industries Ltd.
POWERGRID.NS,Power Grid Corporation of India Ltd.
TITAN.NS,Titan Company Ltd.
NTPC.NS,NTPC Ltd.
ADANIPORTS.NS,Adani Ports and Special Economic Zone Ltd
HINDUNILVR.NS,Hindustan Unilever Ltd.
